user,pass
ubarr,vbnnbvnvvn
uorto,bvnbnmbvbm
ouuub,vvvvnmbnnb
abmtz,nvbmbmnnvv
zaauz,bnbmnvbnvb
mzatu,mbnnvnbvnv
tzzou,vbbnnvnmvv
arzoz,mbmvnbvvnv
uozmb,vbnnmvbbvv
omoub,bbnvnmnnnm
mtuab,bnvvvnbmvb
aztob,vvmvbbmvnn
oobmz,vnnnbnmbbn
oabuu,nvvbbnvvvn
armzt,vbvmbvvnmv
rzuro,bnbnvnmbnn
uuzbo,nnvnvmvbbv
roumm,vmnvbnnmmv
auztu,vnbnnbvbmb
zmora,nbvvnbmvnv
arbub,nvnvbmmbvn
rzauo,bbnvvbnnmb
atmru,nvmbbmvvbv
ztaua,mvnvnvvvbv
ombur,bbnnbnvnvb
ambmt,bnnbvbbbnm
uamoa,vvvbbmbbvb
aortu,nvbnnmnbmb
azubt,bmnnvvnmvn
bauza,vbnnvbmvnv
obaur,bmmvmbvnnb
otatr,mvmvnmmvnb
mzbrm,vbbmbbmbbm
tbuau,vbbbnbbnmn
utttu,mvvvbvmmnn
tozba,bbvvbnbbnb
tabzu,bmnvnbvnnb
zabzu,nmnvvnbmnn
morom,bbvnvbvbbb
otuto,vmbvnbbnbv
atobo,bvbnvvvvvv
ztrou,nnvvnmbnnv
tmmbu,mvnbbbbvmb
tazmt,mbbvvnnmbv
bmoot,nbnvvvmnbn
roaom,bnbvbvmnnn
tuomr,bvnbbnnvnv
rrbbo,nvmbbbnnvm
tbbmo,bnbnvbnnvn
oaobb,nmmvbvbbnb
rmaro,vbnnbvbvnb
